,ID,Molecular_Name,Covalent Warhead,n_obs,y,LogConcentration,Negative,Positive,theta,ASE,Variances,Outlier_Pos
278,ID_1482,CVD-0011612,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[92.31568324 92.66283355 91.73709939 94.83252299 92.4603292  92.22889566
 88.28006088 68.18873668 59.81373545 30.79775536 14.82884109]","[-8.77121249 -8.29409132 -7.81697004 -7.33984878 -6.86272753 -6.38560627
 -5.90848502 -5.43136376 -4.95424251 -4.47712125 -4.        ]",None,None,[-2.96858632 93.54970485 -4.74345735  0.88303416],[13.35336491  1.63526531  0.17125138  0.17461998],[11.68931177],[]
279,ID_1483,CVD-0011611,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[86.02207257 88.44556704 88.90027458 92.62742524 90.95613316 91.86433891
 92.90798947 94.05322363 93.84763778 94.68086516 93.620284   96.28080687
 96.74639837 98.07061316 90.82068835 94.05443296 84.19235844 85.17433324
 46.189208   48.03827139 17.45797973 18.20655412]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[13.3247133  92.82065445 -4.53518936  2.27845914],[3.47328461 0.75545572 0.02857077 0.32223738],[8.66250285],[]
280,ID_1484,CVD-0011608,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 96.33992427  96.79886794  94.96309328 102.73453934 100.59280223
 101.23532336 105.97774123 110.20002295 107.32397598 114.72826711
 106.58966612 113.74918729 106.83443607 110.59777412 104.32554404
 116.28867557  97.59437029 112.70891498  84.68275519  97.28840785
  58.27819635  68.83390064]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 62.48845716 105.56465048  -4.40350091   3.95249179],[21.69993308  1.76929429  0.40465283 17.25210296],[49.75208868],[]
281,ID_1485,CVD-0011606,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 96.53624309  97.44752334  97.64375334 100.          95.39751442
  97.85038949  95.74389011  95.9103883   93.92430279  96.29541535
  92.4600107   95.7453767   94.39703871  97.21115538  95.33953737
  96.4842124   89.69792472  91.84456205  55.22536719  56.12475471
   0.           0.88154843]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[-14.26616873  96.21579929  -4.36956884   2.20181133],[5.48615321 0.42501748 0.03015327 0.24220738],[2.73600381],[]
282,ID_1487,CVD-0011604,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 78.19408871  79.98026702  81.23192209  81.26699262  81.29238852
  84.12463604  86.30021814  86.87223056  91.39028211  92.92371075
  93.75331015  94.75100622  98.8046756   99.26542979  98.74058119
 101.65264439  98.57853116  99.12756633  71.96483723  73.43175279
  23.40787632  24.40436306]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[23.90610489 90.45836013 -4.44761608 14.8739079 ],[4.50529259e+01 1.95799654e+00 5.51651136e+03 2.78092221e+06],[61.34000719],[]
283,ID_1488,CVD-0011601,0,"[1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 51.67  45.04  54.55  47.41  54.18  48.72  53.87  55.61  57.91  55.05
  57.69  55.56  58.67  58.65  58.87  60.98  63.4   62.84 100.     0.
  72.81]","[-8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004 -7.33984878
 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627 -5.90848502
 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251 -4.47712125
 -4.47712125 -4.         -4.        ]",None,None,[ 2.32962188e+01  9.40518268e+01 -5.03500983e+00  2.72630423e-13],[3.90177441 3.90177441 0.         0.04940881],[156.72913],[19]
284,ID_1489,CVD-0011600,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 79.73532195 104.00594383 102.07970399 103.15289476 100.26353501
 100.74509497  97.34665755 100.81388925 100.04339331 101.96963315
  96.8926153  100.8276481   98.21346547 103.02906505 104.22608552
 105.83587167 102.63005823 103.8270787   93.02637679  97.09899814
  61.05079558  63.85760219]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 62.45416023 101.52368447  -4.42710768  14.05645216],[4.75935964e+01 6.61180139e-01 3.97625099e+03 1.11752384e+06],[6.55738764],[0]
285,ID_1490,CVD-0010878,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[106.19191494 120.81691972 105.0598539  107.17099476  91.26094772
  95.42203694  81.31716832  84.86633266  80.09331855  84.04023406
  79.94033732  81.31716832 116.71702299 127.67047845 157.89956783
 167.32321108 157.77718285 160.16368991 164.35537538 171.85145523
 109.98584924 230.932803  ]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[116.72576477 228.08164119 -10.30339255   7.86136359],[7.85789254 0.         0.         0.        ],[1296.67597937],[21]
286,ID_1491,CVD-0010877,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 85.53945003 111.08731403  88.56847822  89.57815428  86.7632998
  87.71178338  78.01277393  83.52009791  76.17699927  79.72616361
  80.95001339  82.87757678 106.40608865 117.26775538 148.01698092
 150.80123915 143.45814051 154.87053964 114.97303706 128.12942211
  33.43404597  40.89952958]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 6.35089297e+01  1.33651878e+02 -4.97391895e+01  1.42878342e-26],[2.15791430e+02 2.15791428e+02 0.00000000e+00 1.23198845e-01],[1239.28988025],[]
287,ID_1492,CVD-0010874,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[108.45603702 108.578422   109.83286802 112.92308869  99.12418251
 105.73297128  86.54912609  96.24813554  81.07239836  85.93720121
  92.08704632  93.70864726 100.80697594 102.39798065 107.17099476
 108.24186331 112.34176005 114.29991968 115.2789995  125.80410755
  38.29884882  83.3059242 ]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 32.61231548 103.92779286  -4.01070328  17.24095674],[3.80112045e+05 3.27180164e+00 8.46833210e+03 1.30938832e+07],[193.09658765],[]
288,ID_1493,CVD-0010838,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 97.99727027  99.96100387  98.39558787 100.          93.18124843
  94.74109356  78.56605666  79.76379488  49.78134314  60.46628228
  33.37232946  43.32748391  12.8380825   14.61797722   3.3369544
   9.9440127    3.19211164   3.65727974   0.           0.29247096
   3.51522242   4.21436729]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[  1.80259823 101.56588847  -6.78093918   0.97601964],[1.15356801 1.62397381 0.03272743 0.06650828],[7.12372266],[11]
289,ID_1495,CVD-0010834,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 64.34002057  99.30896562 100.56424868 101.24872865 101.01532823
 101.62845782  98.23508184  99.57380857  93.1800884   93.52232839
  85.01832986  85.29405677  61.42070139  65.19138788  48.99243163
  53.97728402  31.32897848  32.57579624  27.00683815  27.50024421
  27.7747618   28.13393239]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 24.79471483 101.30538657  -5.83073543   0.94878807],[1.75498299 1.13467212 0.04142189 0.07944305],[6.39306293],[0]
290,ID_1497,CVD-0010621,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[  6.13541625   6.94483791   1.5055243    1.91023514   0.
  14.38747015   4.44777207   7.99708608   6.3539601    8.00922741
   4.60156218   7.87567283  44.61936946  53.60394998  79.20191024
 100.          76.62390222  82.96572099  83.22068882  88.37670484
  67.77692339  68.20591687]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[-2.48939825e+00  7.65588414e+01 -4.99616628e+01  1.03747777e-12],[2.44168403e+02 2.44168333e+02 0.00000000e+00 1.23064692e-01],[1570.51808625],[]
